主管機關	辦理單位	成立日期	負責人	連絡電話	傳真	電子郵件	地址	相關網站	X坐標	Y坐標	備註	最後更新時間
臺中市政府	臺中市和平區大雪山社區發展協會	20140101	陳世允	(04)25971043			臺中市和平區中坑里8鄰雪山路育才巷55號					20170824
臺中市政府	臺灣基督長老教會－松茂教會	20140101	曾坤達	(04)25989249			臺中市和平區梨山里2鄰中興路四段松茂74號					20170824
臺中市政府	財團法人中華基督教福音信義傳道會-信義長青快樂學堂	20051001	尤寶珍	(04)25875243			臺中市東勢區泰昌里11鄰東崎路五段352號					20170824
臺中市政府	財團法人中華基督教福音信義傳道會(山一)	20140101	尤寶珍	(04)25875243			臺中市東勢區泰昌里3鄰東崎路五段407號 					20170824
臺中市政府	社團法人台中縣東勢鎮客家休閒推廣文化協會	20051201	劉桂心	(04)25853800			臺中市東勢區慶東里2鄰慶成2巷5號					20170824
臺中市政府	臺中市東勢區石城社區發展協會	20071201	吳仁文	(04)25770953			臺中市東勢區茂興里7鄰東蘭路195之44號					20170824
臺中市政府	臺中市東勢區上城社區發展協會	20090801	張秀春	(04)25855847			臺中市東勢區上域里5鄰東關路東興巷35號					20170824
臺中市政府	臺中市東勢區福隆社區發展協會	20120201	邱彬順	(04)25876669			臺中市東勢區福隆里7鄰東坑路東福巷45號					20170824
臺中市政府	社團法人臺中市東勢農民老人會	20120301	宋能波	(04)25876126			臺中市東勢區新盛里12鄰新盛街527號					20170824
臺中市政府	社團法人臺中市石岡區傳統美食文化推廣協會	20051001	呂玉美	(04)25721421			臺中市石岡區萬興里5鄰豐勢路889-1號					20170824
臺中市政府	財團法人老五老基金會(大土牛)	20060701	林正介	(04)22463927			臺中市石岡區德興里6鄰豐勢路134號 (石岡區老人服務中心)					20170824
臺中市政府	臺中市石岡區萬興社區發展協會	20130101	林櫻	(04)25815883			臺中市石岡區萬興里8鄰萬墩街105號					20170824
臺中市政府	臺中市石岡區龍興社區發展協會	20130101	廖立卿	(04)25819769			臺中市石岡區龍興里2鄰萬仙街3號2樓					20170824
臺中市政府	臺中市石岡區萬安社區發展協會	20160101	林保明	(04)25722922			臺中市石岡區萬安里6鄰石岡街6號3樓(萬安里6鄰石岡街)					20170824
臺中市政府	臺中縣大雅鄉長生會	20061101	林東柳	(04)25660363			臺中市大雅區員林里14鄰大林路212巷73-1號（員林社區活動中心）					20170824
臺中市政府	臺中市大雅區忠義社區發展協會	20130101	殷劉靜娟	(04)25668480			臺中市大雅區忠義里4鄰仁愛路80號（忠義社區活動中心）					20170824
臺中市政府	臺中市大雅區大雅社區發展協會	20110524	劉福全	(04)25684547			臺中市大雅區大雅里16鄰永和路222號					20170824
臺中市政府	臺中市大雅區西寶社區發展協會	20120201	林俊彥	(04)25332811			臺中市大雅區西寶里11鄰雅潭路三段600號 (西寶社區活動中心 )					20170824
臺中市政府	臺中市大雅區上雅社區發展協會	20130101	李森茂	(04)25691170			臺中市大雅區上雅里12鄰雅環路二段171巷19號(上雅社區活動中心)					20170824
臺中市政府	臺中市大雅區橫山社區發展協會	20140101	張聖河	(04)25662554			臺中市大雅區橫山里5鄰振興路228號(橫山社區活動中心)					20170824
臺中市政府	社團法人中華傳愛社區服務協會-豐富惠明據點	20140101	杜明達	(04)25605559			臺中市大雅區三和里1鄰雅潭路四段336號(惠明盲校惠明館二樓)					20170824
臺中市政府	臺中市大雅區文雅社區發展協會	20140801	劉亦銘	(04)25669388			臺中市大雅區文雅里6鄰中山北路191號					20170824
臺中市政府	臺中市大雅區秀山社區發展會	20170101	黃清鋼	(04)25661425			臺中市大雅區秀山里16鄰秀山路352號1樓					20170824
臺中市政府	臺中市新社區馬力埔社區發展協會	20090901	陳霜云	(04)25812324			臺中市新社區永源里6鄰中和街一段8號 ( 社區活動中心)					20170824
臺中市政府	財團法人中華基督教福音信義傳道會-新社長青快樂學堂	20150301	尤寶珍	(04)25875243			臺中市新社區復盛里11鄰興社街二段26號					20170824
臺中市政府	財團法人老五老基金會(山二區)	20140401	林正介	(04)22463927			臺中市石岡區梅子里8鄰豐勢路503之1號					20170824
臺中市政府	社團法人臺中市天使守護關懷協會	20050801	李美賞	(04)25820736			臺中市新社區新社里18鄰中和街四段388號(大南活動中心)／臺中市新社區復盛里4鄰興社街二段17-6號 (協會辦公處)					20170824
臺中市政府	臺中市新社區東興社區發展協會	20160801	彭玄巧	(04)25811612			臺中市新社區東興里3鄰興社街一段139號 (東興宮活動中)					20170824
臺中市政府	臺中市新社區月湖社區發展協會	20170101	高清源	(04)25810848			臺中市新社區月湖里6鄰東湖街2段68巷87號					20170824
臺中市政府	臺中市神岡區北庄社區發展協會	20071201	林照豐	(04)25627040			臺中市神岡區北庄里11鄰中山路1244號（北庄社區活動中心）					20170824
臺中市政府	臺中市神岡區三角社區發展協會	20071201	呂石柱	(04)25311580			臺中市神岡區三角里12鄰三社路195號（三角社區活動中心）					20170824
臺中市政府	財團法人台中市私立龍眼林社會福利慈善事業基金會(山三區)	20140101	廖振益	(04)24511055			臺中市大雅區員林里11鄰民生路2段20號					20170824
臺中市政府	臺中市神岡區溪洲社區發展協會	20150101	王明洲	(04)25613421			臺中市神岡區溪洲里5鄰豐洲路1076號（溪洲社區活動中心）					20170824
臺中市政府	財團法人臺中市私立慈心社會福利慈善事業基金會	20160701	楊益松	(04)25282989			臺中市神岡區豐洲里12鄰中山路551巷43-1號(社南里12鄰)					20170824
臺中市政府	社團法人臺中市福康關懷協會(中和)	20090101	鄭麗美	952770828			臺中市后里區中和里8鄰中正路140號（中和社區活動中心）					20170824
臺中市政府	社團法人臺中市福康關懷協會(慈厚宮)	20110801	鄭麗美	952770828			臺中市后里區后里里12鄰甲后路490巷38弄5號					20170824
臺中市政府	臺中市后里區聯合社區發展協會	20130801	陳查某	(04)25572134			臺中市后里區聯合里7鄰水門路55-10號					20170824
臺中市政府	臺中市后里區墩東社區發展協會	20160101	張國棟	(04)25568438			臺中市后里區墩東里5鄰平安路130號1樓					20170824
臺中市政府	臺中市后里區舊社社區發展協會	20160101	陳鴻洲	(04)25565266			臺中市后里區舊社里5鄰舊社路93號					20170824
臺中市政府	臺中市浩德人文關懷協會	20160701	朱素鳳	(04)25580405			臺中市后里區義里里12鄰甲后路108巷35弄11號					20170824
臺中市政府	臺中市潭仔墘社區文化協會	20060401	朱美娥	(04)25330995			臺中市潭子區頭家里2鄰得天街33號(得天宮)					20170824
臺中市政府	台中縣潭子鄉社區健康營造推廣協會	20110801	林瑞文	(04)25324643分機30			臺中市潭子區嘉仁里8鄰仁愛路二段44號					20170824
臺中市政府	臺中市潭子區東寶社區發展協會	20110801	羅東勝	(04)25320638			臺中市潭子區東寶里21鄰昌平路三段492巷170弄21號					20170824
臺中市政府	臺中市潭子區甘蔗社區發展協會	20110801	吳明佳	(04)25344280			臺中市潭子區甘蔗里18鄰勝利路310號					20170824
臺中市政府	臺中縣潭子鄉大豐社區發展協會	20110801	林綵玲	(04)25322218			臺中市潭子區大豐里7鄰潭富路二段157巷5-1號					20170824
臺中市政府	臺中市伯樂城鄉關懷協會	20140101	陳麗琴	930771096			臺中市潭子區頭家東里5鄰中興北路59號					20170824
臺中市政府	臺中市潭子區大富社區發展協會	20140101	廖金木	(04)25677406			臺中市潭子區大富里4鄰民族路3段35號					20170824
臺中市政府	臺中市潭子區家福健康促進協會	20140601	張文中	(04)25311897			臺中市潭子區家福里3鄰大通街100號					20170824
臺中市政府	社團法人臺中市傳承行善團協會	20140801	廖王美玉	(04)25391210			臺中市潭子區潭陽里7鄰潭興路二段261巷1弄(南陽福德祠)					20170824
臺中市政府	社團法人臺中市感恩關懷協會	20140801	林信佑	(04)25313502			臺中市潭子區福仁里3鄰新興路一段187號					20170824
臺中市政府	臺中市潭陽社區總體營造協會	20170101	張明欽	(04)25383398			臺中市潭子區潭陽里21鄰中山路2段237巷9號2樓					20170824
臺中市政府	臺中市梧棲區草湳社區發展協會	20070101	黃耀原	(04)26563746			臺中市梧棲區草湳里1鄰梧南路133-5號(找不到相對應的門牌)					20170824
臺中市政府	臺中市梧棲區南簡社區發展協會	20110101	紀明清	(04)26577735			臺中市梧棲區南簡里14鄰中央路二段504號					20170824
臺中市政府	臺中市梧棲區下寮社區發展協會	20140801	陳常瑞	(04)26562706			臺中市梧棲區下寮里18鄰悟北路117號					20170824
臺中市政府	財團法人童傳盛文教基金會(海二)	20140101	童瑞年	(04)26581989			臺中市沙鹿區鹿寮里17鄰成功西街31號					20170824
臺中市政府	臺中市梧棲區草湳社區發展協會	20150901	黃耀原	(04)26563746			臺中市梧棲區頂寮里54鄰自立一街61號					20170824
臺中市政府	財團法人台灣省私立永信社會福利基金會	20070901	李敏雄	(04)26760180分機162			臺中市大甲區中山里7鄰水源路167號 (中山里活動中心）					20170824
臺中市政府	臺中市大甲區建興社區發展協會	20090901	周碧湖	(04)26811546			臺中市大甲區建興里5鄰如意路21巷1-2號  (大甲鎮建興里長壽會館)					20170824
臺中市政府	臺中市大甲區頂店社區發展協會	20090901	周素環	(04)26861462			臺中市大甲區頂店里14鄰彈正路37-1號（頂店集會所）					20170824
臺中市政府	財團法人台灣省私立永信社會福利基金會(海三區)	20140101	李敏雄	(04)26760180分機162			臺中市大甲區頂店里2鄰成功路319號					20170824
臺中市政府	財團法人台灣省私立永信社會福利基金會(大甲長青快樂學堂)	20161201	李敏雄	(04)26760180分機162			臺中市大甲區中山里7鄰水源路167號					20170824
臺中市政府	臺中市大甲區幸福社區發展協會	20150801	陳桂蘭	(04)26814207			臺中市大甲區幸福里6鄰東明路127-1號					20170824
臺中市政府	臺中市大甲區日南社區發展協會	20160101	施德讓	(04)26815838			臺中市大甲區日南里19鄰幼二路32巷3號(週四)／臺中市大甲區日南里2鄰日南路21-4號(週五)					20170824
臺中市政府	臺中市外埔社區健康協會	20051101	蔡榮村	(04)26833182			臺中市外埔區大同里5鄰六分路277號 (外埔區民眾服務社)					20170824
臺中市政府	臺中縣外埔鄉三崁社區發展協會	20140101	曾炳輝	910479613			臺中市外埔區三崁里7鄰五穀路19號					20170824
臺中市政府	財團法人臺中市私立康家社會福利慈善基金會	20150801	陳焜耀	(04)26877296			臺中市外埔區水美里6鄰水美路129號					20170824
臺中市政府	臺中市大安區海墘社區發展協會	20070901	王莊碧珍	(04)26871818			臺中市大安區海墘里5鄰大安港路1176號( 海墘社區活動中心）					20170824
臺中市政府	臺中市大安區西安社區發展協會	20070101	紀青福	(04)26864401			臺中市大安區西安里6鄰南北八路52號 (西安社區活動中心)					20170824
臺中市政府	臺中市大安區松雅社區發展協會	20070501	黃明淵	(04)26879403			臺中市大安區松雅里6鄰松一街1號 （松雅社區活動中心）					20170824
臺中市政府	臺中市大安區頂安社區發展協會	20160101	王朝	(04)26888597			臺中市大安區頂安里6鄰東西一路70巷36號  (頂安社區活動中心)					20170824
臺中市政府	社團法人台中縣木棉花愛縣關懷協會(橋頭)	20060401	陳蕙美	(04)26270916			臺中市清水區橋頭里37鄰五權路166號  (協會會址)					20170824
臺中市政府	社團法人台中縣木棉花愛縣關懷協會(田寮菁埔)	20070101	陳蕙美	(04)26270916			臺中市清水區橋頭里37鄰五權路166號 (協會會址)					20170824
臺中市政府	臺中縣清水鎮?榔社區發展協會	20070301	楊春吉	(04)26578666			臺中市清水區?榔里9鄰中央路21-7號					20170824
臺中市政府	財團法人弘道老人福利基金會(海風)	20100401	王乃弘	(04)22060698			臺中市清水區海風里2鄰和睦路2段18號					20170824
臺中市政府	臺中市清水區博愛關懷協會	20120201	張昭才	(04)26280018			臺中市清水區中社里31鄰建國路126號1樓					20170824
臺中市政府	臺中市清水區南社社區發展協會	20140801	陳添芳	(04)26263567			臺中市清水區南社里26鄰中華路171號					20170824
臺中市政府	財團法人弘道老人福利基金會(清水快樂學堂)	20161201	王乃弘	(04)22060698			臺中市清水區武鹿里14鄰中央路51-60號					20170824
臺中市政府	台中市清水區武鹿社區發展協會	20170101	江端宗	(04)26260847			臺中市清水區武鹿里6鄰公正路161之33號					20170824
臺中市政府	臺中市龍井區山腳社區發展協會	20060501	林孟令	(04)26361460			臺中市龍井區山腳里5鄰中山二路一段西巷135號					20170824
臺中市政府	台中市龍龍社區關懷協會(龍西)	20050801	劉淑蘭	(04)26367041			臺中市龍井區龍西里4鄰茄投路147號					20170824
臺中市政府	台中市龍龍社區關懷協會(麗水)	20071101	劉淑蘭	(04)26367041			臺中市龍井區麗水里14鄰三港路水裡港巷26號					20170824
臺中市政府	臺中市環保慈善會	20061101	何昀真	(04)26396568			臺中市龍井區忠和里4鄰中央路三段123巷13號中央路三段123巷3號					20170824
臺中市政府	臺中市龍井區南寮社區發展協會	20130101	張永河	(04)26915707			臺中市龍井區南寮里7鄰中沙路90號					20170824
臺中市政府	臺中市龍井區東海社區發展協會	20150101	周棟年	(04)26321728			臺中市龍井區東海里10鄰藝術街115號					20170824
臺中市政府	社團法人台灣省社區關懷協會(海一區)	20140101	林鴻祐	(04)23386651			臺中市烏日區烏日里23鄰公園路352巷30號					20170824
臺中市政府	臺中市龍井區龍津社區發展協會	20170101	紀少偉	(04)26393523			臺中市龍井區龍津里6鄰龍津街142號					20170824
臺中市政府	台中市幸福心志工協會	20120201	胡書維	(04)26982668			臺中市大肚區頂街里43鄰大德六街30號3樓					20170824
臺中市政府	臺中市常德教育關懷協會	20120201	藍?女	(04)26995951			臺中市大肚區大肚里6鄰沙田路二段646號					20170824
臺中市政府	臺中市大肚區蔗?社區發展協會	20130101	陳明軍	(04)26911183			臺中市大肚區蔗?里8鄰中沙路2-1號					20170824
臺中市政府	臺中市大肚區磺溪社區發展協會	20130101	趙宗添	(04)26991268			臺中市大肚區磺溪里9鄰文昌一街65號					20170824
臺中市政府	臺中市大肚區山陽社區發展協會	20130701	陳樹根	(04)26991002			臺中市大肚區山陽里10鄰沙田路三段888巷9之1 號					20170824
臺中市政府	臺中市大肚自強關懷協會	20150701	楊黃薰	(04)26526795			臺中市大肚區自強里23鄰中沙路164巷5弄104號					20170824
臺中市政府	臺中市文創學會	20160701	王富敬	(04)26934152			臺中市大肚區大肚里2鄰沙田路2段656-1號					20170824
臺中市政府	臺中市大肚區萬興社區發展協會	20160801	蔣溪圳	(04)26991261			臺中市大肚區頂街里17鄰沙田路三段244巷9號					20170824
臺中市政府	台中市大肚區社腳社區發展協會	20170101	陳金旺	(04)26991570			臺中市大肚區社腳里1鄰沙田路一段710巷43號					20170824
臺中市政府	臺中市忘憂草女性成長協會	20060301	何淑貞	(04)26363008			臺中市沙鹿區斗抵里17鄰天仁一街28號					20170824
臺中市政府	臺中市沙鹿區沙鹿社區發展協會-沙鹿長青快樂學堂	20060801	蔡錦釵	(04)26626356			臺中市沙鹿區沙鹿里10鄰中正街34號					20170824
臺中市政府	臺中市沙鹿區洛泉社區發展協會	20070701	張健中	(04)26627622			臺中市沙鹿區洛泉里22鄰日新街33-1號 （洛泉社區活動中心）					20170824
臺中市政府	臺中市沙鹿區福興社區發展協會	20060801	顏麗華	(04)26364176			臺中市沙鹿區福興里13鄰鎮南路2段299巷36號 社區活動中心）					20170824
臺中市政府	臺中市沙鹿區公明社區發展協會	20100101	蔡水松	(04)26153915			臺中市沙鹿區公明里4鄰中清路六段263巷68號					20170824
臺中市政府	臺中市沙鹿區興安社區發展協會	20140101	曾四桐	(04)26350406			臺中市沙鹿區興仁里14鄰鎮南路2段500號 (興安社區活動中心)					20170824
臺中市政府	臺中市沙鹿區西勢寮社區發展協會	20140101	蔡文彥 	928386469			臺中市沙鹿區西勢里12鄰中航路一段496號 (西勢社區活動中心)					20170824
臺中市政府	臺中市沙鹿區六路社區發展協會	20150801	紀金豐	(04)26316816			臺中市沙鹿區六路里7鄰北勢東路267號2樓					20170824
臺中市政府	臺中市沙鹿區清泉社區發展協會	20150801	蔡宗誠	(04)26151920			臺中市沙鹿區清泉里3鄰東大路二段1579號1樓					20170824
臺中市政府	臺中市沙鹿區晉江社區發展協會	20150801	楊朝奎	(04)26320001			臺中市沙鹿區晉江里10鄰晉武路35巷33號 					20170824
臺中市政府	臺中市沙鹿區斗抵社區發展協會	20160801	吳政玲	(04)26362514			臺中市沙鹿區斗抵里4鄰斗潭路197號					20170824
臺中市政府	臺中市水噹噹關懷協會	20070701	邱素貞	(04)22824639			臺中市東區東興里7鄰立德街199號					20170824
臺中市政府	臺中市東區東門社區發展協會	20100415	林耀國	(04)22817530			臺中市東區東門里17鄰天乙街50號					20170824
臺中市政府	社團法人台中市東區東信社區發展協會	20120101	洪廖固香	(04)22119830			臺中市東區東信里2鄰長福路1號					20170824
臺中市政府	社團法人台中市社會關懷服務協會(東區)	20140101	李玉萍	(04)22126765			臺中市東區富仁里33鄰雙十路一段4-33號9樓-3					20170824
臺中市政府	社團法人臺中市東信社區發展協會	20150101	洪廖固香	(04)22119830			臺中市東區東信里12鄰十甲東路267號					20170824
臺中市政府	社團法人台中市東區東英社區發展協會	20160601	何幸枝	(04)22119068			臺中市東區東英里9鄰東英七街141號(十甲東英東信三里活動中心)					20170824
臺中市政府	臺中市東區十甲社區發展協會	20170101	朱子朋	(04)22111351			臺中市東區東英里9鄰東英七街141號(十甲東英東信三里活動中心)					20170824
臺中市政府	財團法人天主教聖母聖心修女會	20050829	劉瑞瓊	(04)22974225			臺中市中區公園里19鄰市府路103號1樓					20170824
臺中市政府	財團法人中聖光輝文教基金會	20140101	林惠美	(04)22233982			臺中市中區大墩里6鄰三民路二段42號					20170824
臺中市政府	財團法人天主教聖母聖心修女會(中西區)	20140401	劉瑞瓊	(04)22974225			臺中市中區公園里19鄰市府路103號					20170824
臺中市政府	臺中市中區大誠社區發展協會	20160801	陳玉柱	(04)22224822			臺中市中區中華里15鄰中山路328號B1					20170824
臺中市政府	財團法人臺中市私立甘霖社會福利慈善事業基金會	20050829	謝信男	(04)23725498			臺中市西區東昇里14鄰大全街29-1號					20170824
臺中市政府	臺中市西區大忠社區發展協會	20070323	熊英芝	(04)23731468			臺中市西區大忠里13鄰大忠南街112號(西區社會福利服務中心)					20170824
臺中市政府	臺中市西區中美社區發展協會	20070623	林彩雲	(04)23012869			臺中市西區民龍里3鄰市民廣場					20170824
臺中市政府	臺中市藍興長青協會	20070711	陳琮翰	(04)23716068			臺中市西區藍興里10鄰大全街156號					20170824
臺中市政府	台中市婦女發展協會	20090421	黃淑紋	(04)23782067			臺中市西區大忠里13鄰大忠南街112號(西區社會福利服務中心)					20170824
臺中市政府	臺中市藝術人文教育發展協會	20070820	熊文騫	(04)23731468			臺中市西區土庫里18鄰五權西六街26巷9號					20170824
臺中市政府	臺中市和樂關懷協會	20091001	王欽榮	(04)23169729			臺中市西區忠誠里17鄰華美西街一段203號之1(1樓)					20170824
臺中市政府	財團法人弘道老人福利基金會-後龍據點	20140101	王乃弘	(04)22060698			臺中市西區後龍里25鄰民權路234號4樓					20170824
臺中市政府	臺中市西區忠明社區發展協會	20150801	何樹林	(04)23213191			臺中市西區忠明里2鄰長春街27號					20170824
臺中市政府	臺中市和龍愛心關懷協會	20150801	黃麗芳	(04)23133696			臺中市西區和龍里13鄰篤行路200-23號					20170824
臺中市政府	社團法人中華傳愛社區服務協會-新興社區	20050829	杜明達	(04)22984774			臺中市北區新興里3鄰雙十路一段79號					20170824
臺中市政府	財團法人天主教曉明社會福利基金會	20050829	吳富柔	(04)22974225			臺中市北區賴明里11鄰漢口路4段21號					20170824
臺中市政府	財團法人天主教曉明社會福利基金會-北區	20050829	吳富柔	(04)22974225			臺中市北區立人里4鄰北平路一段65號					20170824
臺中市政府	社團法人臺中市健行關懷社區協會	20060210	陳台媛	(04)22364946			臺中市北區邱厝里10鄰健行路375-1號2樓					20170824
臺中市政府	社團法人臺中市城市之光關懷協會-方舟長青快樂學堂	20090727	劉寬諒	(04)22383998			臺中市北區錦洲里16鄰進化路428號					20170824
臺中市政府	財團法人臺灣省臺中市順天宮輔順將軍廟	20070323	陳英郎	(04)22265649			臺中市北區賴村里15鄰德化街362號					20170824
臺中市政府	臺中市北區錦平社區發展協會	20070426	郭梅香	(04)22013477			臺中市北區錦平里18鄰中華路二段195號					20170824
臺中市政府	臺中市北區賴福社區發展協會	20070624	王有理	(04)22362106			臺中市北區賴福里7鄰進化北路396號					20170824
臺中市政府	台中市北區錦村社區發展協會	20070820	吳柯鉗杏	(04)23608292			臺中市北區錦村里11鄰自強一街21號					20170824
臺中市政府	社團法人台中市永恆愛心關懷協會	20090421	邱巧鶯	(04)22039373			臺中市北區賴村里14鄰健行路603號					20170824
臺中市政府	臺中市北區中達社區發展協會	20090421	林清福	(04)22021615			臺中市北區中達里2鄰中達街29號					20170824
臺中市政府	社團法人中華傳愛社區服務協會-傳動	20090421	杜明達	(04)22984774			臺中市北區明新里11鄰中清路一段447號8樓					20170824
臺中市政府	台中市北區樂英社區發展協會	20100415	梁吳文鳳	(04)22357328			臺中市北區金龍里30鄰錦中街105之1號1樓					20170824
臺中市政府	台中市北區建成社區發展協會	20120101	鄭凱鶴	(04)22352266			臺中市北區建成里13鄰天祥街265-1號					20170824
臺中市政府	台中市尾張仔文化發展協會	20140101	鄭凱鶴	(04)22352262			臺中市北區建德里19鄰國強街62號1樓					20170824
臺中市政府	臺中市北區長青社區發展協會	20140801	符錦滄	(04)22925846			臺中市北區長青里3鄰陝西路66-2號3樓					20170824
臺中市政府	台中市北區賴村社區發展協會	20160101	廖羽婷	(04)22360681			臺中市北區賴村里14鄰健行路603號					20170824
臺中市政府	臺中市北區育德社區發展協會	20160801	陳永松	(04)22050201			臺中市北區賴村里14鄰健行路603號					20170824
臺中市政府	臺中市北區邱厝慈善協會	20170101	高敏裕	0952-610655			臺中市北區中達里16鄰英才路172號					20170824
臺中市政府	台中市弘馨社會福利關懷協會-福順據點	20060421	莊茂得	(04)22624492			臺中市南區福順里16鄰福德街157號					20170824
臺中市政府	台中市弘馨社會福利關懷協會-積善據點	20060918	莊茂得	(04)22624492			臺中市南區積善里1鄰復新街89號4樓					20170824
臺中市政府	臺中市南區南和社區發展協會	20070424	黃寶蓮	(04)22650665			臺中市南區南和里4鄰工學三街23號					20170824
臺中市政府	臺中市南區國光社區發展協會	20070623	洪湄	(04)22870095			臺中市南區國光里27鄰仁和路211號 					20170824
臺中市政府	臺中市南區福平社區發展協會	20070711	林良柱	(04)22610989			臺中市南區福平里15鄰復興路二段158號					20170824
臺中市政府	台中市南區崇倫社區發展協會	20070701	王世勛	(04)23764334			臺中市南區崇倫里19鄰崇倫街52-3號1樓					20170824
臺中市政府	社團法人台灣省慈心協會	20061108	鍾李美雲	(04)22324990			臺中市南區長春里12鄰合作街6號1F					20170824
臺中市政府	臺中市南區西川社區發展協會	20140101	朱繩武	(04)23763080			臺中市南區西川里9鄰柳川西路一段59號					20170824
臺中市政府	財團法人環宇國際文化教育基金會	20140101	黃石城	(04)22296563			臺中市南區長榮里9鄰國光路9號					20170824
臺中市政府	臺中市番仔火文化協會	20140801	林松枝	(04)22610714			臺中市南區永興里10鄰工學二街236號					20170824
臺中市政府	財團法人台中市私立永耕社會福利基金會	20140801	林喬美	(04)22611698 			臺中市南區永和里11鄰五權南路657號					20170824
臺中市政府	社團法人台灣省慈心協會(南區)	20140101	鍾李美雲	(04)22324990			臺中市南區長春里12鄰合作街6號2樓					20170824
臺中市政府	臺中市南區和平社區發展協會	20160101	楊秀娟	(04)22614581			臺中市南區和平里2鄰復興路2段71巷31弄11號					20170824
臺中市政府	臺中市南區樹德社區發展協會	20160101	林碧霞	(04)22619499			臺中市南區樹德里22鄰德富路100號					20170824
臺中市政府	財團法人台中市私立宏恩社會福利慈善基金會	20160801	吳子鈞	(04)22610111			臺中市南區工學里25鄰工學路139巷141號					20170824
臺中市政府	臺中市西屯區何明社區發展協會-忠明教會據點	20060124	趙淑妙	(04)23142101			臺中市西屯區何明里14鄰漢口路一段56-1號					20170824
臺中市政府	財團法人弘道老人福利基金會-福氣長青快樂學堂	20060428	王乃弘	(04)22060698			臺中市西屯區福和里10鄰中工三路199號2樓					20170824
臺中市政府	臺中市西大墩文化協會	20070820	黃茂榮	(04)27017707			臺中市西屯區逢甲里7鄰寶慶街56號1樓					20170824
臺中市政府	臺中市何成長青協會	20071026	李國文	(04)23223355			臺中市西屯區何成里3鄰大墩17街88號3樓					20170824
臺中市政府	臺中市西屯區何明社區發展協會-救世軍據點	20060124	趙淑妙	(04)23142101			臺中市西屯區何安里32鄰四川東街67號一樓					20170824
臺中市政府	臺中市西屯區福瑞社區發展協會	20090421	童紀金釵	(04)24614773			臺中市西屯區福瑞里13鄰福強街115號B區活動中心					20170824
臺中市政府	社團法人台灣基督教好牧人全人關顧協會-墩安據點	20110101	王世欽	(04)24850890			臺中市西屯區西墩里19鄰黎明路三段306號					20170824
臺中市政府	社團法人台中市婦幼關懷成長協會	20110101	朱美蓉	(04)22075566			臺中市西屯區至善里4鄰至善路101巷40號					20170824
臺中市政府	社團法人臺中市惠來關懷服務協會(鵬程)	20130101	楊曜同	(04)23171561			臺中市西屯區鵬程里17鄰逢大路65號					20170824
臺中市政府	社團法人臺中市惠來關懷服務協會(惠來)	20140101	楊曜同	(04)23171561			臺中市西屯區惠來里31鄰西屯路二段208巷3號					20170824
臺中市政府	臺中市福雅長青關懷協會	20140101	王英彥	(04)24637468			臺中市西屯區福雅里1鄰永福路26號					20170824
臺中市政府	財團法人弘道老人福利基金會(西屯區)	20140401	王乃弘	(04)22060698			臺中市西屯區福和里10鄰中工三路199號2樓((福和里10鄰)					20170824
臺中市政府	臺中市西屯區福和社區發展協會	20150801	張國禎	(04)23583614			臺中市西屯區福恩里8鄰福澤街66號					20170824
